Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
123,Exit Long,X-Exit-Sell 22400PE,3/11/2024 9:20,22496.5,1,5.6,0.02,4660.85,0,35.7,0.16,60.9,0.27
123,Entry Long,Sell 22400 PE,3/7/2024 10:05,22490.9,1,5.6,0.02,4660.85,0,35.7,0.16,60.9,0.27
124,Exit Long,TG-Exit-Sell 21950PE,3/14/2024 12:25,22200.95,1,159.8,0.73,4820.65,0.02,159.8,0.73,52.75,0.24
124,Entry Long,Sell 21950 PE,3/14/2024 10:05,22041.15,1,159.8,0.73,4820.65,0.02,159.8,0.73,52.75,0.24
125,Exit Long,X-Exit-Sell 21900PE,3/18/2024 9:20,22011.35,1,-5.75,-0.03,4814.9,0,35.75,0.16,63.4,0.29
125,Entry Long,Sell 21900 PE,3/15/2024 13:40,22017.1,1,-5.75,-0.03,4814.9,0,35.75,0.16,63.4,0.29
126,Exit Long,TG-Exit-Sell 21750PE,3/21/2024 9:15,22020.95,1,174.65,0.8,4989.55,0.02,174.65,0.8,32.35,0.15
126,Entry Long,Sell 21750 PE,3/20/2024 11:45,21846.3,1,174.65,0.8,4989.55,0.02,174.65,0.8,32.35,0.15
127,Exit Long,TG-Exit-Sell 21950PE,3/22/2024 14:45,22178.45,1,148.85,0.68,5138.4,0.01,148.85,0.68,11.3,0.05
127,Entry Long,Sell 21950 PE,3/22/2024 10:15,22029.6,1,148.85,0.68,5138.4,0.01,148.85,0.68,11.3,0.05
128,Exit Long,TSL-Exit-Sell 22050PE,3/27/2024 15:05,22116.65,1,-53.5,-0.24,5084.9,-0.01,23.45,0.11,58.3,0.26
128,Entry Long,Sell 22050 PE,3/27/2024 11:05,22170.15,1,-53.5,-0.24,5084.9,-0.01,23.45,0.11,58.3,0.26
129,Exit Long,TSL-Exit-Sell 22300PE,3/28/2024 15:05,22355.9,1,-46.95,-0.21,5037.95,0,113.15,0.51,50.1,0.22
129,Entry Long,Sell 22300 PE,3/28/2024 12:40,22402.85,1,-46.95,-0.21,5037.95,0,113.15,0.51,50.1,0.22
130,Exit Long,TG-Exit-Sell 22350PE,4/4/2024 9:15,22616,1,185.2,0.83,5223.15,0.02,185.2,0.83,11.7,0.05
130,Entry Long,Sell 22350 PE,4/3/2024 10:10,22430.8,1,185.2,0.83,5223.15,0.02,185.2,0.83,11.7,0.05
131,Exit Long,TSL-Exit-Sell 22350PE,4/5/2024 9:20,22464.3,1,-5.2,-0.02,5217.95,0,110.7,0.49,35.1,0.16
131,Entry Long,Sell 22350 PE,4/4/2024 12:45,22469.5,1,-5.2,-0.02,5217.95,0,110.7,0.49,35.1,0.16
,,,,,,,,,,,,,
,,,,,,,,,,,,,
