Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
78,Exit Long,TG-Exit-Sell 45600PE,2023-07-20 14:00,46072.15,30,8577.00,0.62,105579.00,0.78,8577.00,0.62,1063.50,0.08
78,Entry Long,Sell 45600 PE,2023-07-20 12:10,45786.25,30,8577.00,0.62,105579.00,0.78,8577.00,0.62,1063.50,0.08
79,Exit Short,X-Exit-Sell Sell 46200 CE,2023-07-21 14:45,46081.80,30,-2476.50,-0.18,103102.50,-0.22,2200.50,0.16,7917.00,0.57
79,Entry Short,Sell 46200 CE,2023-07-21 12:05,45999.25,30,-2476.50,-0.18,103102.50,-0.22,2200.50,0.16,7917.00,0.57
80,Exit Long,SL-Exit-Sell 46000PE,2023-07-24 11:40,45991.15,30,-4950.00,-0.36,98152.50,-0.45,1060.50,0.08,4950.00,0.36
80,Entry Long,Sell 46000 PE,2023-07-24 10:30,46156.15,30,-4950.00,-0.36,98152.50,-0.45,1060.50,0.08,4950.00,0.36
81,Exit Short,X-Exit-Sell Sell 46200 CE,2023-07-24 14:45,46029.45,30,-817.50,-0.06,97335.00,-0.07,4303.50,0.31,2653.50,0.19
81,Entry Short,Sell 46200 CE,2023-07-24 11:45,46002.20,30,-817.50,-0.06,97335.00,-0.07,4303.50,0.31,2653.50,0.19
82,Exit Short,X-Exit-Sell Sell 46000 CE,2023-07-25 14:45,45881.55,30,-2080.50,-0.15,95254.50,-0.19,5680.50,0.41,3916.50,0.28
82,Entry Short,Sell 46000 CE,2023-07-25 11:45,45812.20,30,-2080.50,-0.15,95254.50,-0.19,5680.50,0.41,3916.50,0.28
83,Exit Short,X-Exit-Sell Sell 46400 CE,2023-07-27 14:45,45632.10,30,16074.00,1.16,111328.50,1.47,17457.00,1.26,856.50,0.06
83,Entry Short,Sell 46400 CE,2023-07-27 10:55,46167.90,30,16074.00,1.16,111328.50,1.47,17457.00,1.26,856.50,0.06
84,Exit Short,X-Exit-Sell Sell 45600 CE,2023-07-28 14:45,45312.45,30,1315.50,0.1,112644.00,0.12,3525.00,0.26,2419.50,0.18
84,Entry Short,Sell 45600 CE,2023-07-28 12:20,45356.30,30,1315.50,0.1,112644.00,0.12,3525.00,0.26,2419.50,0.18
85,Exit Long,X-Exit-Sell Sell 45300 PE,2023-07-31 14:45,45645.90,30,3970.50,0.29,116614.50,0.36,4731.00,0.35,1905.00,0.14
85,Entry Long,Sell 45300 PE,2023-07-31 10:25,45513.55,30,3970.50,0.29,116614.50,0.36,4731.00,0.35,1905.00,0.14
86,Exit Short,X-Exit-Sell Sell 45700 CE,2023-08-01 14:45,45610.75,60,-4080.00,-0.15,112534.50,-0.37,4302.00,0.16,5835.00,0.21
86,Entry Short,Sell 45700 CE,2023-08-01 12:10,45542.75,60,-4080.00,-0.15,112534.50,-0.37,4302.00,0.16,5835.00,0.21
87,Exit Short,X-Exit-Sell Sell 45300 CE,2023-08-02 14:45,44820.75,30,6579.00,0.49,119113.50,0.59,9574.50,0.71,2740.50,0.2
87,Entry Short,Sell 45300 CE,2023-08-02 11:05,45040.05,30,6579.00,0.49,119113.50,0.59,9574.50,0.71,2740.50,0.2
88,Exit Long,SL-Exit-Sell 44600PE,2023-08-04 13:35,44607.70,30,-6591.00,-0.49,112522.50,-0.59,8719.50,0.65,6591.00,0.49
88,Entry Long,Sell 44600 PE,2023-08-04 11:05,44827.40,30,-6591.00,-0.49,112522.50,-0.59,8719.50,0.65,6591.00,0.49
