Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
33,Exit Short,X-Exit- Sell 44100 CE|Buy 45100 CE,2023-08-17 12:30,43865.45,1,119.30,0.27,2104.40,0.01,166.00,0.38,87.10,0.2
33,Entry Short,Sell 44100 CE|Buy 45100 CE,2023-08-17 10:20,43984.75,1,119.30,0.27,2104.40,0.01,166.00,0.38,87.10,0.2
34,Exit Short,X-Exit- Sell 44100 CE|Buy 45100 CE,2023-08-18 12:30,43834.15,1,106.90,0.24,2211.30,0.01,116.20,0.26,16.60,0.04
34,Entry Short,Sell 44100 CE|Buy 45100 CE,2023-08-18 10:20,43941.05,1,106.90,0.24,2211.30,0.01,116.20,0.26,16.60,0.04
35,Exit Short,X-Exit- Sell 44100 CE|Buy 45100 CE,2023-08-21 12:30,44033.40,1,-60.50,-0.14,2150.80,-0.01,19.20,0.04,88.90,0.2
35,Entry Short,Sell 44100 CE|Buy 45100 CE,2023-08-21 10:45,43972.90,1,-60.50,-0.14,2150.80,-0.01,19.20,0.04,88.90,0.2
36,Exit Short,X-Exit- Sell 45200 CE|Buy 46200 CE,2023-08-24 12:30,44571.90,1,323.10,0.72,2473.90,0.03,349.40,0.78,8.45,0.02
36,Entry Short,Sell 45200 CE|Buy 46200 CE,2023-08-24 10:20,44895.00,1,323.10,0.72,2473.90,0.03,349.40,0.78,8.45,0.02
37,Exit Short,SL-Exit-Sell Sell 44200 CE|Buy 45200 CE,2023-08-25 11:15,44080.65,1,-82.65,-0.19,2391.25,-0.01,14.25,0.03,82.65,0.19
37,Entry Short,Sell 44200 CE|Buy 45200 CE,2023-08-25 10:35,43998.00,1,-82.65,-0.19,2391.25,-0.01,14.25,0.03,82.65,0.19
38,Exit Short,X-Exit- Sell 44200 CE|Buy 45200 CE,2023-09-01 12:30,44047.90,1,-21.70,-0.05,2369.55,0,67.25,0.15,54.10,0.12
38,Entry Short,Sell 44200 CE|Buy 45200 CE,2023-09-01 11:15,44026.20,1,-21.70,-0.05,2369.55,0,67.25,0.15,54.10,0.12
39,Exit Short,SL-Exit-Sell Sell 44500 CE|Buy 45500 CE,2023-09-06 12:10,44405.10,1,-47.10,-0.11,2322.45,0,14.85,0.03,47.10,0.11
39,Entry Short,Sell 44500 CE|Buy 45500 CE,2023-09-06 11:50,44358.00,1,-47.10,-0.11,2322.45,0,14.85,0.03,47.10,0.11
40,Exit Short,X-Exit- Sell 44600 CE|Buy 45600 CE,2023-09-07 12:30,44411.70,1,38.15,0.09,2360.60,0,47.85,0.11,57.10,0.13
40,Entry Short,Sell 44600 CE|Buy 45600 CE,2023-09-07 11:40,44449.85,1,38.15,0.09,2360.60,0,47.85,0.11,57.10,0.13
41,Exit Short,X-Exit- Sell 46300 CE|Buy 47300 CE,2023-09-18 12:30,46118.15,1,62.40,0.14,2423.00,0.01,89.90,0.19,0,0
41,Entry Short,Sell 46300 CE|Buy 47300 CE,2023-09-18 12:00,46180.55,1,62.40,0.14,2423.00,0.01,89.90,0.19,0,0
42,Exit Short,X-Exit- Sell 44900 CE|Buy 45900 CE,2023-09-28 12:30,44441.30,1,257.50,0.58,2680.50,0.03,280.95,0.63,58.00,0.13
42,Entry Short,Sell 44900 CE|Buy 45900 CE,2023-09-28 10:20,44698.80,1,257.50,0.58,2680.50,0.03,280.95,0.63,58.00,0.13
43,Exit Short,X-Exit- Sell 44700 CE|Buy 45700 CE,2023-09-29 12:30,44657.15,1,-54.25,-0.12,2626.25,-0.01,107.25,0.24,84.35,0.19
43,Entry Short,Sell 44700 CE|Buy 45700 CE,2023-09-29 10:20,44602.90,1,-54.25,-0.12,2626.25,-0.01,107.25,0.24,84.35,0.19
44,Exit Short,X-Exit- Sell 44500 CE|Buy 45500 CE,2023-10-06 12:30,44315.60,1,94.60,0.21,2720.85,0.01,154.55,0.35,4.80,0.01
44,Entry Short,Sell 44500 CE|Buy 45500 CE,2023-10-06 11:15,44410.20,1,94.60,0.21,2720.85,0.01,154.55,0.35,4.80,0.01
45,Exit Short,L-Exit- Sell 44300 CE|Buy 45300 CE,2023-10-16 11:45,44343.20,1,-123.75,-0.28,2597.10,-0.01,71.25,0.16,130.20,0.29
45,Entry Short,Sell 44300 CE|Buy 45300 CE,2023-10-16 10:20,44219.45,1,-123.75,-0.28,2597.10,-0.01,71.25,0.16,130.20,0.29
46,Exit Short,X-Exit- Sell 44300 CE|Buy 45300 CE,2023-10-18 12:30,43941.55,1,153.90,0.35,2751.00,0.02,227.30,0.52,8.70,0.02
46,Entry Short,Sell 44300 CE|Buy 45300 CE,2023-10-18 10:50,44095.45,1,153.90,0.35,2751.00,0.02,227.30,0.52,8.70,0.02
47,Exit Short,SL-Exit-Sell Sell 42500 CE|Buy 43500 CE,2023-10-26 12:15,42263.00,1,-131.70,-0.31,2619.30,-0.01,17.65,0.04,131.70,0.31
47,Entry Short,Sell 42500 CE|Buy 43500 CE,2023-10-26 11:30,42131.30,1,-131.70,-0.31,2619.30,-0.01,17.65,0.04,131.70,0.31
48,Exit Short,SL-Exit-Sell Sell 43100 CE|Buy 44100 CE,2023-11-02 12:20,42908.80,1,-103.50,-0.24,2515.80,-0.01,0,0,103.50,0.24
48,Entry Short,Sell 43100 CE|Buy 44100 CE,2023-11-02 11:50,42805.30,1,-103.50,-0.24,2515.80,-0.01,0,0,103.50,0.24
49,Exit Short,X-Exit- Sell 43500 CE|Buy 44500 CE,2023-11-03 12:30,43327.20,1,10.45,0.02,2526.25,0,45.75,0.11,27.50,0.06
49,Entry Short,Sell 43500 CE|Buy 44500 CE,2023-11-03 11:20,43337.65,1,10.45,0.02,2526.25,0,45.75,0.11,27.50,0.06
50,Exit Short,X-Exit- Sell 43900 CE|Buy 44900 CE,2023-11-09 12:30,43792.20,1,-49.30,-0.11,2476.95,0,60.20,0.14,133.85,0.31
50,Entry Short,Sell 43900 CE|Buy 44900 CE,2023-11-09 10:20,43742.90,1,-49.30,-0.11,2476.95,0,60.20,0.14,133.85,0.31
51,Exit Short,L-Exit- Sell 43700 CE|Buy 44700 CE,2023-11-10 10:50,43703.40,1,-84.55,-0.19,2392.40,-0.01,11.75,0.03,103.60,0.24
51,Entry Short,Sell 43700 CE|Buy 44700 CE,2023-11-10 10:20,43618.85,1,-84.55,-0.19,2392.40,-0.01,11.75,0.03,103.60,0.24
52,Exit Short,X-Exit- Sell 43700 CE|Buy 44700 CE,2023-11-20 12:30,43619.25,1,0.85,0,2393.25,0,112.90,0.26,103.90,0.24
52,Entry Short,Sell 43700 CE|Buy 44700 CE,2023-11-20 10:20,43620.10,1,0.85,0,2393.25,0,112.90,0.26,103.90,0.24
53,Exit Short,X-Exit- Sell 43600 CE|Buy 44600 CE,2023-11-22 12:30,43266.45,1,121.10,0.28,2514.35,0.01,156.60,0.36,25.30,0.06
53,Entry Short,Sell 43600 CE|Buy 44600 CE,2023-11-22 11:50,43387.55,1,121.10,0.28,2514.35,0.01,156.60,0.36,25.30,0.06
54,Exit Short,X-Exit- Sell 45200 CE|Buy 46200 CE,2023-12-01 12:30,44882.60,1,13.20,0.03,2527.55,0,50.30,0.11,54.00,0.12
54,Entry Short,Sell 45200 CE|Buy 46200 CE,2023-12-01 10:20,44895.80,1,13.20,0.03,2527.55,0,50.30,0.11,54.00,0.12
55,Exit Short,X-Exit- Sell 47300 CE|Buy 48300 CE,2023-12-05 12:30,46889.15,1,243.95,0.52,2771.50,0.02,397.00,0.84,97.45,0.21
55,Entry Short,Sell 47300 CE|Buy 48300 CE,2023-12-05 10:20,47133.10,1,243.95,0.52,2771.50,0.02,397.00,0.84,97.45,0.21
56,Exit Short,X-Exit- Sell 46900 CE|Buy 47900 CE,2023-12-07 12:30,46814.45,1,-46.85,-0.1,2724.65,0,3.60,0.01,89.75,0.19
56,Entry Short,Sell 46900 CE|Buy 47900 CE,2023-12-07 11:30,46767.60,1,-46.85,-0.1,2724.65,0,3.60,0.01,89.75,0.19
57,Exit Short,X-Exit- Sell 47300 CE|Buy 48300 CE,2023-12-08 12:30,47019.35,1,79.70,0.17,2804.35,0.01,160.30,0.34,71.20,0.15
57,Entry Short,Sell 47300 CE|Buy 48300 CE,2023-12-08 10:20,47099.05,1,79.70,0.17,2804.35,0.01,160.30,0.34,71.20,0.15
58,Exit Short,X-Exit- Sell 47700 CE|Buy 48700 CE,2023-12-11 12:30,47324.15,1,149.85,0.32,2954.20,0.01,198.05,0.42,114.00,0.24
58,Entry Short,Sell 47700 CE|Buy 48700 CE,2023-12-11 10:20,47474.00,1,149.85,0.32,2954.20,0.01,198.05,0.42,114.00,0.24
59,Exit Short,X-Exit- Sell 47500 CE|Buy 48500 CE,2023-12-21 12:30,47454.45,1,-181.70,-0.38,2772.50,-0.02,145.00,0.31,221.25,0.47
59,Entry Short,Sell 47500 CE|Buy 48500 CE,2023-12-21 10:20,47272.75,1,-181.70,-0.38,2772.50,-0.02,145.00,0.31,221.25,0.47
60,Exit Short,X-Exit- Sell 48100 CE|Buy 49100 CE,2023-12-22 12:30,47867.65,1,44.25,0.09,2816.75,0,77.45,0.16,159.50,0.33
60,Entry Short,Sell 48100 CE|Buy 49100 CE,2023-12-22 10:20,47911.90,1,44.25,0.09,2816.75,0,77.45,0.16,159.50,0.33
